,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,tema,vwap,obv,bbands_upper,bbands_lower,chaikin
0,2022-04-25,161.1199951171875,163.1699981689453,162.8800048828125,161.89926147460938,96046400,0.4404,0.4331485447176936,0.0533342543980841,37.43340703,22.27822069,-0.172430747,,167.2271445,,168.0094775,38841100,174.9672843,160.6055699,19187042.68
1,2022-04-26,162.25,162.33999633789062,156.8000030517578,155.8558807373047,95623200,-0.4019,0.4305877305877305,0.1338910338910339,29.72013109,0.47310357,-0.208388384,,165.836859,,166.6760308,-56782100,174.4902971,158.4739865,-18404840.92
2,2022-04-27,155.91000366210938,159.7899932861328,156.57000732421875,155.6272735595703,88063200,-0.7096,0.4300309075309075,0.0499328224328224,29.47273056,6.618480112,-0.242859849,-3.08996784,164.6012788,,165.5098041,-144845300,174.2959831,156.4883012,-15448911.22
3,2022-04-28,159.25,164.52000427246094,163.63999938964844,162.65467834472656,130216800,0.0,0.4703530061669598,0.1171699553676297,44.70926262,50.36583891,-0.175367002,-2.881853189,164.4731082,,164.7374599,-14628500,172.8887913,156.6812073,28450452.15
4,2022-04-29,161.83999633789062,166.1999969482422,157.64999389648438,156.70074462890625,131747600,0.5423,0.4847141610104574,0.0730035585128177,37.34747502,14.05566484,-0.246547578,-3.163793964,163.5633596,,163.9100087,-146376100,172.2041097,155.5887457,-22737455.72
5,2022-05-02,156.7100067138672,158.22999572753906,157.9600067138672,157.00888061523438,123055300,0.0,0.4303369633838381,0.0680255681818181,37.9172376,25.6845775,-0.101137415,-3.323902735,162.8162459,,163.0263454,-23320800,172.1073469,154.5726523,31453209.06
6,2022-05-03,158.14999389648438,160.7100067138672,159.47999572753906,158.5197296142578,88966500,0.1779,0.3494107744107744,0.1267676767676767,40.76172009,34.00872576,-0.046849375,-3.290212161,162.3714125,,162.4219605,65645700,171.3827481,154.1286785,28316187.97
7,2022-05-04,159.6699981689453,166.47999572753906,166.02000427246094,165.02035522460938,108256500,0.5829,0.4381182947487294,0.0872151640629901,51.13572091,69.82477457,-0.011253813,-2.704611033,162.8578914,,162.1701941,173902200,170.2135034,154.6722104,42070000.08
8,2022-05-05,163.85000610351562,164.0800018310547,156.77000427246094,155.82606506347656,130525300,0.0,0.3553616136949469,0.0853375020041686,40.36789467,19.16758517,-0.017521065,-2.952876691,162.0461731,,161.5531637,43376900,169.9447799,153.7237927,-11157167.22
9,2022-05-06,156.00999450683594,159.44000244140625,157.27999877929688,156.56268310546875,116124600,0.4588,0.3707037043102617,-0.0006159368864286,41.10426444,21.96054607,-0.001804374,-3.073052482,161.4106832,,161.0052622,159501500,169.4922596,153.0634546,-341624.0444
10,2022-05-09,154.92999267578125,155.8300018310547,152.05999755859375,151.36648559570312,131577900,0.9349,0.4599275063560779,0.1046060949632378,36.17967267,2.844272736,-0.103189861,-3.548597118,160.1639251,,160.0591874,27923600,168.9138186,151.4504675,-33357897.28
11,2022-05-10,155.52000427246094,156.74000549316406,154.50999450683594,153.8052978515625,115366700,0.0,0.4173237476808904,0.1008426097711812,39.82375405,15.06981051,-0.104551671,-3.685293618,159.4100677,,159.3299234,143290300,167.5161711,151.030972,-19225675.31
12,2022-05-11,153.5,155.4499969482422,146.5,145.83184814453125,142689800,0.1531,0.5210277376944042,0.1713744588744589,33.15775156,3.127844596,-0.133019081,-4.389368289,157.6887254,,157.9465809,600500,167.4355385,148.2658906,-44335927.22
13,2022-05-12,142.77000427246094,146.1999969482422,142.55999755859375,141.90980529785156,182602000,0.6249,0.4528224250996528,0.1532253225322532,30.45714441,13.58379878,-0.077622828,-5.205274641,155.6715617,,155.9791461,-182001500,168.5887119,144.365575,-10733708.87
14,2022-05-13,144.58999633789062,148.10000610351562,147.11000061035156,146.43905639648438,113990900,0.7089,0.4788067261536649,0.1860868156786524,36.85340512,30.02167542,-0.085903077,-5.422234934,154.5300202,,155.0043727,-68010600,167.7994466,142.9019825,24924441.1
15,2022-05-16,145.5500030517578,147.52000427246094,145.5399932861328,144.87620544433594,86643800,0.6369,0.4939734075448362,0.2962770562770562,35.63545197,24.34968215,-0.040901062,-5.655668968,153.3313499,,154.3250954,-154654400,167.9361022,141.1567541,10250306.19
16,2022-05-17,148.86000061035156,149.77000427246094,149.24000549316406,148.55935668945312,78336300,0.743,0.4368280399468516,0.1510935022073635,40.61633265,37.71678181,0.013621158,-5.478949143,152.7858373,163.3464479,153.9033121,-76318100,167.6266089,140.4191043,24807826.06
17,2022-05-18,146.85000610351562,147.36000061035156,140.82000732421875,140.17774963378906,109742900,-0.3612,0.4174050221181368,0.1361850353653632,34.14141243,7.297705227,-0.089783979,-5.949736039,151.1903933,162.6205168,152.4982654,-186061000,166.4574681,138.3282462,-14172479.13
18,2022-05-19,139.8800048828125,141.66000366210938,137.35000610351562,136.7235870361328,136095600,0.296,0.3889100445009535,0.1107011019283746,31.88546594,2.510041032,-0.074993605,-6.527592126,149.3450084,161.8392528,150.7333617,-322156600,166.6323577,135.2533583,-32991252.13
19,2022-05-20,139.08999633789062,140.6999969482422,137.58999633789062,136.9624786376953,137426100,0.4939,0.4314236111111112,0.1318813131313131,32.21904869,14.70326674,-0.120761932,-6.886795342,147.7776734,161.0024532,149.1842889,-184730500,166.0578953,132.9178193,2882938.672
20,2022-05-23,137.7899932861328,143.25999450683594,143.11000061035156,142.45730590820312,117726300,0.6705,0.4657731157731158,0.0875307562807562,39.5519619,31.00089021,-0.076364105,-6.649398143,147.1553171,160.1277523,148.1402884,-67004200,164.1991493,132.4379945,42644650.69
21,2022-05-24,140.80999755859375,141.97000122070312,140.36000061035156,139.7198486328125,104132700,0.6486,0.4519376215571868,0.1153715728715729,37.38220176,24.62662758,-0.113304656,-6.606999789,146.2492749,159.2240263,146.6325041,-171136900,159.4211764,133.5502526,29718559.69
22,2022-05-25,138.42999267578125,141.7899932861328,140.52000427246094,139.87911987304688,92482700,0.8514,0.377404401154401,0.0614414304333659,37.59670465,29.48193486,-0.05410086,-6.485724436,145.4853721,158.3009849,145.3379124,-78654200,157.2366162,133.4133842,19350948.56
23,2022-05-26,137.38999938964844,144.33999633789062,143.77999877929688,143.12425231933594,90601500,0.2023,0.3499907893524914,0.1444450584876117,41.95925026,46.29090721,-0.020933639,-6.056740203,145.257989,157.3758028,144.3161135,11947300,154.2609348,134.4604942,29932035.38
